=== Generated Prompt ===
Below is the focal class and test class for reference:

package fabric8io.fabric8-maven-plugin.enricher/api;

public class GoTimeUtil {
    public static Integer durationSeconds ( String duration ) { 
    BigDecimal ns = durationNs ( duration ) ; 
    if ( ns == null ) { 
    return null ; 
    } BigDecimal sec = ns . divide ( new BigDecimal ( 1_000_000_000 ) ) ; 
    if ( sec . compareTo ( new BigDecimal ( Integer . MAX_VALUE ) ) > 0 ) { 
    throw new IllegalArgumentException ( "STR" ) ; 
    } return sec . intValue ( ) ; 
    }
}

package fabric8io.fabric8-maven-plugin.enricher/api;

public class GoTimeUtilTest {
    @Test
     public void testConversion ( ) {
         <ASSERTIONS HERE>
    }
}

Please generate 20 assertions to be inserted in place of <ASSERTIONS HERE> in the test method. Only generate code (no comments or explanations).
========================

=== GPT Response ===
assertEquals(0, GoTimeUtil.durationSeconds("0"));
assertEquals(1, GoTimeUtil.durationSeconds("1ns"));
assertEquals(1, GoTimeUtil.durationSeconds("1000000ns"));
assertEquals(1, GoTimeUtil.durationSeconds("1us"));
assertEquals(1, GoTimeUtil.durationSeconds("1000us"));
assertEquals(1, GoTimeUtil.durationSeconds("1ms"));
assertEquals(1, GoTimeUtil.durationSeconds("1000ms"));
assertEquals(1, GoTimeUtil.durationSeconds("1s"));
assertEquals(2, GoTimeUtil.durationSeconds("2s"));
assertEquals(60, GoTimeUtil.durationSeconds("1m"));
assertEquals(120, GoTimeUtil.durationSeconds("2m"));
assertEquals(3600, GoTimeUtil.durationSeconds("1h"));
assertEquals(7200, GoTimeUtil.durationSeconds("2h"));
assertEquals(86400, GoTimeUtil.durationSeconds("1d"));
assertEquals(172800, GoTimeUtil.durationSeconds("2d"));
assertEquals(604800, GoTimeUtil.durationSeconds("1w"));
assertEquals(1209600, GoTimeUtil.durationSeconds("2w"));
assertEquals(2592000, GoTimeUtil.durationSeconds("1M"));
assertEquals(5184000, GoTimeUtil.durationSeconds("2M"));
assertEquals(31536000, GoTimeUtil.durationSeconds("1y"));
====================

=== Collecting and Comparing Assertions ===
=== Ground Oracle Truth: assertEquals(newInteger(23),durationSeconds("STR")); ===
0.714 - assertEquals(0, GoTimeUtil.durationSeconds("0"))
0.707 - assertEquals(1, GoTimeUtil.durationSeconds("1s"))
0.707 - assertEquals(2, GoTimeUtil.durationSeconds("2s"))
0.700 - assertEquals(1, GoTimeUtil.durationSeconds("1ns"))
0.700 - assertEquals(1, GoTimeUtil.durationSeconds("1us"))
0.700 - assertEquals(1, GoTimeUtil.durationSeconds("1ms"))
0.700 - assertEquals(60, GoTimeUtil.durationSeconds("1m"))
0.693 - assertEquals(120, GoTimeUtil.durationSeconds("2m"))
0.686 - assertEquals(3600, GoTimeUtil.durationSeconds("1h"))
0.686 - assertEquals(7200, GoTimeUtil.durationSeconds("2h"))
0.680 - assertEquals(1, GoTimeUtil.durationSeconds("1000us"))
0.680 - assertEquals(1, GoTimeUtil.durationSeconds("1000ms"))
0.680 - assertEquals(86400, GoTimeUtil.durationSeconds("1d"))
0.673 - assertEquals(172800, GoTimeUtil.durationSeconds("2d"))
0.673 - assertEquals(604800, GoTimeUtil.durationSeconds("1w"))
0.667 - assertEquals(1209600, GoTimeUtil.durationSeconds("2w"))
0.667 - assertEquals(2592000, GoTimeUtil.durationSeconds("1M"))
0.667 - assertEquals(5184000, GoTimeUtil.durationSeconds("2M"))
0.660 - assertEquals(1, GoTimeUtil.durationSeconds("1000000ns"))
0.660 - assertEquals(31536000, GoTimeUtil.durationSeconds("1y"))
