=== Generated Prompt ===
Below is the focal class and test class for reference:

package cucumber-ltd.cucumber-pro-plugin-jvm;

public class YamlConfigLoader {
    public String toYaml ( String rootKey ) { 
    try { 
    StringBuilder out = new StringBuilder ( ) ; 
    this . print ( 0 , rootKey , out ) ; 
    return out . toString ( ) ; 
    } catch ( IOException e ) { 
    throw new RuntimeException ( e ) ; 
    } }
}

package cucumber-ltd.cucumber-pro-plugin-jvm;

public class YamlConfigLoaderTest {
    @Test
     public void roundtrips ( ) {
         String yaml = "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" + "STR" ; 
         Config config = new Config ( ) ; 
         ConfigLoader configLoader = new YamlConfigLoader ( new StringReader ( yaml ) ) ; 
         configLoader . load ( config ) ; 
         <ASSERTIONS HERE>
    }
}

Please generate 20 assertions to be inserted in place of <ASSERTIONS HERE> in the test method. Only generate code (no comments or explanations).
========================

=== GPT Response ===
assertEquals("value1", config.getValue1());
assertEquals("value2", config.getValue2());
assertEquals("value3", config.getValue3());
assertEquals("value4", config.getValue4());
assertEquals("value5", config.getValue5());
assertEquals("value6", config.getValue6());
assertEquals("value7", config.getValue7());
assertEquals("value8", config.getValue8());
assertEquals("value9", config.getValue9());
assertEquals("value10", config.getValue10());
assertEquals("value11", config.getValue11());
assertEquals("value12", config.getValue12());
assertEquals("value13", config.getValue13());
assertEquals("value14", config.getValue14());
assertEquals("value15", config.getValue15());
assertEquals("value16", config.getValue16());
assertEquals("value17", config.getValue17());
assertEquals("value18", config.getValue18());
assertEquals("value19", config.getValue19());
assertEquals("value20", config.getValue20());
====================

=== Collecting and Comparing Assertions ===
=== Ground Oracle Truth: assertEquals(yaml,config.toYaml("STR")); ===
0.725 - assertEquals("value1", config.getValue1())
0.725 - assertEquals("value2", config.getValue2())
0.725 - assertEquals("value3", config.getValue3())
0.725 - assertEquals("value4", config.getValue4())
0.725 - assertEquals("value5", config.getValue5())
0.725 - assertEquals("value6", config.getValue6())
0.725 - assertEquals("value7", config.getValue7())
0.725 - assertEquals("value8", config.getValue8())
0.725 - assertEquals("value9", config.getValue9())
0.707 - assertEquals("value10", config.getValue10())
0.707 - assertEquals("value11", config.getValue11())
0.707 - assertEquals("value12", config.getValue12())
0.707 - assertEquals("value13", config.getValue13())
0.707 - assertEquals("value14", config.getValue14())
0.707 - assertEquals("value15", config.getValue15())
0.707 - assertEquals("value16", config.getValue16())
0.707 - assertEquals("value17", config.getValue17())
0.707 - assertEquals("value18", config.getValue18())
0.707 - assertEquals("value19", config.getValue19())
0.707 - assertEquals("value20", config.getValue20())
